CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
58667	59148	27	0.9191	44.024
59270	60286	27	0.8915	-17.031
53209	59749	27	0.914	30.009
60180	61813	27	0.9141	3.010
73943	74762	27	0.924	-132.073
52828	58667	27	0.9464	-58.036
61078	63278	27	0.9142	-88.052
48887	56865	27	0.9147	-14.016
54277	56578	27	0.9511	-44.028
58090	58230	27	0.9474	-44.027
61813	74110	27	0.9295	-14.019
73943	74066	27	0.9392	-44.025
76986	80069	27	0.9245	-44.027
52421	52871	27	0.9326	28.008
53390	74066	27	0.9138	-25.018
52828	55456	27	0.9637	-71.015
56028	58110	27	0.9718	44.025
53147	60286	27	0.8869	-14.016
56409	56439	27	0.9079	44.026
56409	56866	27	0.9327	-17.026
60631	69379	27	0.8879	-14.016
51811	56409	27	0.908	3.009
51699	71774	27	0.9455	107.059
59768	60254	27	0.9728	44.027
53166	59749	27	0.9153	47.039
58090	60259	27	0.969	44.026
52421	58667	27	0.9132	-118.088
52421	52828	27	0.9626	-60.052
56409	61896	27	0.9044	-14.013
52997	72026	27	0.9076	-59.078
52611	56409	27	0.9261	-14.076
62412	71958	27	0.9034	118.062
55578	59148	27	0.9339	74.035
54277	58090	27	0.9315	-75.074
52611	57663	27	0.8791	-14.016
52421	54460	27	0.9091	-16.021
55456	58667	27	0.9581	12.979
56866	73943	27	0.9163	-11.005
69379	76986	27	0.9203	-72.056
52421	53166	27	0.9405	-104.074
48396	56439	27	0.8973	-14.016
48093	52421	27	0.9192	-89.056
72026	74762	27	0.958	17.032
60180	74110	27	0.8979	-11.008
54460	55578	27	0.9121	-132.079
63306	74110	27	0.9117	30.014
62007	62412	27	0.9105	-61.060
69379	73943	27	0.9445	-44.026
52997	71774	27	0.9284	1.976
53166	58667	27	0.9189	-14.015
53209	59012	27	0.8994	-75.072
58110	59331	27	0.9168	-175.098
51811	52611	27	0.903	17.085
48093	49630	27	0.8909	-45.029
74066	74762	27	0.9456	-88.049
56865	59749	27	0.9133	-88.047
54277	58230	27	0.9364	-119.101
58110	61024	27	0.9054	-43.020
58230	61582	27	0.9066	118.064
52828	52871	27	0.9364	88.060
54277	71774	27	0.9531	46.001
55067	60631	27	0.8716	29.951
56578	72026	27	0.9076	28.975
49630	56865	27	0.8922	-13.015
58230	60259	27	0.9308	88.053
52854	52871	27	0.9303	27.005
49630	54938	27	0.9173	-87.048
71774	80069	27	0.9395	15.995
59148	74110	27	0.9267	77.048
53390	76986	27	0.9083	-9.024
71600	80119	27	0.8643	-28.031
56409	59629	27	0.9029	-44.026
60631	80228	27	0.8954	-42.047
61078	61896	27	0.9023	17.027
61936	63278	27	0.917	-61.057
59148	61813	27	0.9127	91.067
54277	60041	27	0.9709	-102.072
53166	54460	27	0.9075	88.052
58230	60041	27	0.9686	17.029
74066	76986	27	0.9148	15.994
53209	59331	27	0.9187	-58.046
59012	59455	27	0.9102	61.059
55578	58667	27	0.9377	30.012
55594	58090	27	0.9422	-58.042
54474	80069	27	0.9096	-70.079
52828	53166	27	0.9623	-44.021
57670	60180	27	0.89	44.029
58110	63306	27	0.899	-57.039
56866	61078	27	0.9229	-14.014
52828	54460	27	0.9392	44.031
52997	60041	27	0.9156	-146.097
53980	73943	27	0.9627	-42.048
61582	71958	27	0.9079	74.036
52421	59749	27	0.9264	-57.035
71774	74762	27	0.9456	-44.022
55067	61078	27	0.8995	-31.100
61024	61813	27	0.8989	30.013
55594	59768	27	0.9304	-41.015
51699	59768	27	0.9299	3.012
58110	59148	27	0.9165	-104.073
54277	60254	27	0.9493	-14.019
82518	89981	28	0.8738	-28.034
75118	77186	28	0.8716	0.006
92883	105728	28	0.8033	-112.126
61425	62803	28	0.7517	-30.043
100383	103518	28	0.7409	60.958
97404	103518	28	0.7503	32.923
73542	74871	28	0.8858	61.059
82518	102558	28	0.7384	-141.165
79274	102513	28	0.8172	56.060
73637	74871	28	0.9104	17.030
82678	102513	28	0.8659	56.060
61425	63831	28	0.7595	13.981
73557	75912	28	0.7915	1.002
39819	60896	28	0.7549	121.506
86745	89981	28	0.903	-2.013
73542	75761	28	0.7711	60.054
72889	73542	28	0.8152	-132.080
71477	74871	28	0.8733	44.030
89981	92883	28	0.8462	-28.033
39819	41424	28	0.7456	-298.615
72889	74421	28	0.7743	-1.002
66477	75405	28	0.7542	-60.040
66477	66755	28	0.7557	44.020
72889	74871	28	0.8324	-71.021
105616	108198	28	0.9129	-28.031
102558	105728	28	0.7588	-27.028
86745	92883	28	0.7364	-30.047
82678	105616	28	0.9129	28.030
82678	108198	28	0.9029	-0.000
20023	72427	28	0.7653	-190.120
82217	82258	28	0.7404	1.003
82678	83108	28	0.85	-1.003
72427	89981	28	0.7331	137.941
89981	105728	28	0.8852	-140.159
73324	74871	28	0.8826	-26.995
73324	73542	28	0.8789	-88.054
50807	60896	28	0.7205	58.022
61425	72427	28	0.7605	-104.062
79274	105616	28	0.8171	28.030
72427	73637	28	0.7505	-74.071
72889	75912	28	0.8272	44.026
92883	101995	28	0.7766	-84.094
75405	75912	28	0.785	72.021
71477	73637	28	0.8606	27.001
41424	105616	28	0.7921	54.680
73515	77186	28	0.7415	44.025
41424	60896	28	0.7299	420.121
72427	73324	28	0.8082	-30.047
102513	108198	28	0.8518	-56.060
73637	77186	28	0.7822	43.022
82258	89981	28	0.7428	179.227
74871	75761	28	0.7841	-1.005
71477	75761	28	0.7908	43.025
73542	77186	28	0.7373	87.052
20023	89981	28	0.7292	-52.179
79274	82678	28	0.8652	-0.000
72889	73637	28	0.8758	-88.050
83108	108198	28	0.8721	1.003
62803	71477	28	0.7787	-175.090
72427	75912	28	0.7784	58.005
62803	73324	28	0.8257	-104.066
72889	73324	28	0.927	-44.026
105616	106743	28	0.7527	-23.015
62803	75912	28	0.7601	-16.014
62803	77186	28	0.7798	-105.068
101995	102558	28	0.7219	-1.004
59983	73891	28	0.7273	-60.040
82518	105728	28	0.8956	-168.193
79274	83108	28	0.7529	-1.003
41424	82678	28	0.7755	26.650
82219	82258	28	0.7623	21.982
82518	86745	28	0.7213	-26.020
101995	105728	28	0.8292	-28.032
73515	75761	28	0.7637	17.028
73557	75761	28	0.7251	-115.050
82518	92883	28	0.7805	-56.067
89981	101995	28	0.8295	-112.127
83108	102513	28	0.7974	57.063
72889	75405	28	0.8468	-27.995
82518	87742	28	0.9179	-14.019
75761	77186	28	0.7529	26.998
87742	89981	28	0.7295	-14.014
87742	105728	28	0.7292	-154.173
20023	26940	28	0.731	-56.061
62803	72889	28	0.7671	-60.040
39819	108198	28	0.7313	-271.965
